"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Wait for Resend OTP, disable radios, tap Resend. Record error/retry vs silent no-op.","70414","Case 21: No network on Resend — error/retry, no crash","L2B Vendor","Thu Sep 17 16:49:13 IST 2026","passed","Thu Sep 17 16:50:23 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","noNetworkOnResendShowsErrorNotCrash"
"Do not assume Next is the only path. Swipe left and record slide 2 vs stay-on-slide-1.","51266","Case 6: Horizontal swipe on slide 1 — record whether the pager moves","L2B Vendor","Thu Sep 17 16:20:17 IST 2026","passed","Thu Sep 17 16:21:08 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","swipeOnSlideOneMovesOrStays"
"Paste '98765 43210'. Record field text and Get OTP after terms. Sanitized 10-digit vs rejected vs kept-with-spaces.","20577","Case 11: Paste number with spaces","L2B Vendor","Thu Sep 17 16:32:41 IST 2026","passed","Thu Sep 17 16:33:01 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","pasteNumberWithSpaces"
"After Allow, language must appear within 8s. Timeout uses a splash-specific message, not a generic Wait timeout.","8736","Splash proceeds within 8s","L2B Vendor","Thu Sep 17 16:11:11 IST 2026","passed","Thu Sep 17 16:11:20 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","00 Splash screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","splashProceedsWithinTimeout"
"pressDigitKeys 0123. If still on OTP, field must be 0123 not 123. Record landing.","8672","Case 4: Leading-zero OTP digits are kept, not dropped","L2B Vendor","Thu Sep 17 16:40:05 IST 2026","passed","Thu Sep 17 16:40:13 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","leadingZeroOtpDigitsKept"
"QA phone + 1234. Auto-submit on 4th digit. Must reach Home identity (greeting or Current Earning) and must not treat Quick Booking as Home.","36218","Case 23: Correct OTP lands on Home with a session","L2B Vendor OTP isolated","Fri Sep 18 12:19:34 IST 2026","failed","Fri Sep 18 12:20:10 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","OTP case 23","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","correctOtpLandsOnHomeWithSession"
"","2631","Onboarding slide 2","L2B Vendor","Thu Sep 17 16:16:39 IST 2026","passed","Thu Sep 17 16:16:42 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","04 Onboarding slide 2","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","onboardingSlideTwo"
"Type 81234, Back. Record landing. Play Store is force-stopped first so recents leftover is not the landing.","8436","Case 20: Back with partial number — named landing, no crash","L2B Vendor","Thu Sep 17 16:36:45 IST 2026","passed","Thu Sep 17 16:36:54 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","androidBackWithPartialNumberDoesNotCrash"
"9000000001 on Quick Booking. Device Back. Observed: launcher (BUGS_FOUND #13).","42244","0001-3: Back — named landing, no crash","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 13:00:51 IST 2026","passed","Fri Sep 18 13:01:33 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","backNamedLanding"
"QA phone, wait Resend OTP, tap Resend, type 1234. Must stay on OTP with error if resend invalidates. Home means the static seed still works.","76422","Case 15: After Resend, original OTP is rejected","L2B Vendor","Thu Sep 17 16:46:39 IST 2026","passed","Thu Sep 17 16:47:55 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","originalOtpRejectedAfterResend"
"Type 01, HOME, wait ~3s, activateApp. Record digits and resend seconds vs wall time.","12527","Case 18: Background/foreground mid-entry — digits and timer","L2B Vendor","Thu Sep 17 16:48:27 IST 2026","passed","Thu Sep 17 16:48:40 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","backgroundForegroundMidEntryPersists"
"Dump-sourced 16 Sep: Get OTP enabled lives on //android.view.View[@clickable='true'][.//android.widget.TextView[@text='Get OTP']]. Empty = enabled=false. After 8123456098 + terms tap, enabled=true. Inner TextView/Button stay enabled=true decoys.","32287","Case 1: Valid 10-digit + terms checked enables Get OTP","L2B Vendor","Thu Sep 17 16:28:13 IST 2026","passed","Thu Sep 17 16:28:45 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","validTenDigitWithTermsEnablesGetOtp"
"Expand the first card. Second card must stay collapsed (large amount still visible, only one View Less). View More on the second card may be below the fold. Do not tap Accept/Decline.","14735","Landing-8: Expand/collapse does not change other cards","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:43:55 IST 2026","passed","Fri Sep 18 15:44:10 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","expandCollapseDoesNotChangeOtherCards"
"Wifi+data off before launch: no crash. Permission or language still appears. Restore radios → Allow still reaches language.","3325","No network at launch","L2B Vendor","Thu Sep 17 16:10:33 IST 2026","passed","Thu Sep 17 16:10:36 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","00 Splash screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","noNetworkAtLaunchThenRecover"
"List #38. Login, disable radios on the queue, wait, re-enable. Must not crash.","14380","Edge-11: Slow network — queue still lands or shows feedback","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:35:02 IST 2026","passed","Fri Sep 18 16:35:16 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","slowNetworkLoading"
"Expand first card, tap View Less. Details must collapse. Do not tap Accept/Decline.","14656","Landing-7: View Less Details collapses the first card","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:33:32 IST 2026","passed","Fri Sep 18 15:33:47 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","viewLessCollapsesCorrectCard"
"Cold start, first-launch to OTP, 1234. Record whether Quick Booking appears before Home.","20205","Discovery: 9000000003 rental individual after OTP","L2B Vendor Quick Booking landing discovery","Fri Sep 18 12:01:45 IST 2026","passed","Fri Sep 18 12:02:05 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.QuickBookingLandingDiscovery","Discovery 9000000003","com.l2b.vendor.modules.onboarding.presentation.tests.QuickBookingLandingDiscovery","observeRentalIndividual0003"
"Dump-sourced: Kannada tap localizes this screen to 'L2B ಗೆ ಸ್ವಾಗತ'.","6098","Case 2c: Selecting Kannada deselects English","L2B Vendor","Thu Sep 17 16:12:56 IST 2026","passed","Thu Sep 17 16:13:03 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","selectingKannadaDeselectsEnglish"
"Paste a 60-char string. Record length/text. Must not crash. Truncation or reject is OK.","19414","Case 13: Paste 50+ characters — no crash","L2B Vendor","Thu Sep 17 16:34:01 IST 2026","passed","Thu Sep 17 16:34:21 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","pasteLongStringDoesNotCrash"
"Clipboard 5678 + KEYCODE_PASTE. If still on OTP, field is 5678. Record landing.","9126","Case 5: Paste 4-digit numeric string fills the field","L2B Vendor","Thu Sep 17 16:40:16 IST 2026","passed","Thu Sep 17 16:40:25 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","pasteValidLengthNumericFillsField"
"9000000001 + 1234. Pending rentals must open Quick Booking with Accept/Decline, Timer, Amount · Online Mode. Do not tap Accept/Decline.","61431","0001-1: Pending rental lands on Quick Booking with rental chrome","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 12:58:09 IST 2026","passed","Fri Sep 18 12:59:10 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","pendingLandsOnQuickBooking"
"Back may go to launcher, stay on language, or exit. Record the actual screen. Play Store is force-stopped first so recents leftover is not the landing.","11317","Case 6: Android Back from Language — no crash, named landing","L2B Vendor","Thu Sep 17 16:14:45 IST 2026","passed","Thu Sep 17 16:14:57 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","androidBackFromLanguageDoesNotCrash"
"9000000001 on Quick Booking. Tap Close (outer View). Must reach Home. Do not tap Accept/Decline.","42480","0001-2: Close goes to Home","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 12:59:37 IST 2026","passed","Fri Sep 18 13:00:19 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","closeGoesToHome"
"Focus OTP EditText, record IME keys, sendKeys letters/symbols, KEYCODE_A. Field must not keep letters; Continue stays disabled.","9952","Case 3: Non-numeric input rejected; keyboard numeric-only","L2B Vendor","Thu Sep 17 16:39:51 IST 2026","passed","Thu Sep 17 16:40:01 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","nonNumericInputRejected"
"Dump-sourced: Hindi tap localizes this screen to 'L2B में आपका स्वागत है'. English title must go away. CheckBox checked is not relied on (all false in dumps).","7386","Case 2a: Selecting Hindi deselects English","L2B Vendor","Thu Sep 17 16:12:10 IST 2026","passed","Thu Sep 17 16:12:17 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","selectingHindiDeselectsEnglish"
"Read Timer, swipe, Timer must still be mm:ss on Quick Booking. Do not tap Accept/Decline.","14697","Landing-15: Timer stays consistent while scrolling","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:41:52 IST 2026","passed","Fri Sep 18 15:42:06 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","timerStaysVisibleWhileScrolling"
"Tap the EditText, record whether qwerty keys are in the hierarchy, sendKeys letters/symbols, press KEYCODE_A. Field must not keep letters; Get OTP stays disabled.","19299","Case 5: Non-numeric input rejected; keyboard numeric-only","L2B Vendor","Thu Sep 17 16:30:50 IST 2026","passed","Thu Sep 17 16:31:09 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","nonNumericInputRejected"
"Dump-sourced EditText. Observed max length 4 (12345 kept 1234). Type 123. Continue outer View must stay enabled=false.","9793","Case 2: Fewer than 4 digits — Continue stays disabled","L2B Vendor","Thu Sep 17 16:39:38 IST 2026","passed","Thu Sep 17 16:39:48 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","fewerDigitsLeaveContinueDisabled"
"Rotate to landscape on Quick Booking. Record whether title/Close/Accept survive. Restore portrait. Do not tap Accept/Decline.","42986","0001-8: Rotation keeps Quick Booking chrome","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 14:44:51 IST 2026","passed","Fri Sep 18 14:45:34 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","rotationKeepsQuickBookingChrome"
"List #9. Two clickGestures on first Accept. One Assign machine sheet, no crash. Do not Confirm. Do not tap Decline.","15446","Accept-4: Rapid double-tap Accept opens one Assign machine","L2B Vendor Quick Booking accept — rental owner 9000000001","Fri Sep 18 16:19:21 IST 2026","passed","Fri Sep 18 16:19:36 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","Quick Booking accept","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","rapidDoubleTapAcceptOpensOneSheet"
"9000000001 + 1234. Pending rental bookings must open Quick Booking with Accept/Decline, Timer, Amount · Online Mode. Do not tap Accept/Decline.","52504","Case 1: Rental pending lands on Quick Booking with rental chrome","L2B Vendor Quick Booking","Fri Sep 18 12:22:31 IST 2026","passed","Fri Sep 18 12:23:23 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","Quick Booking isolated","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","rentalPendingLandsOnQuickBooking"
"Cold start, first-launch to OTP, 1234. Record whether Quick Booking appears before Home.","25428","Discovery: 9000000017 material vendor after OTP","L2B Vendor Quick Booking landing discovery","Fri Sep 18 12:00:45 IST 2026","passed","Fri Sep 18 12:01:11 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.QuickBookingLandingDiscovery","Discovery 9000000017","com.l2b.vendor.modules.onboarding.presentation.tests.QuickBookingLandingDiscovery","observeMaterial0017"
"Do not tap a language row. Get started must open onboarding in English ('Grow Your Machine…'), not Hindi/Telugu/Kannada copy.","9049","Case 3: Get started without changing language applies English downstream","L2B Vendor","Thu Sep 17 16:13:17 IST 2026","passed","Thu Sep 17 16:13:26 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","getStartedWithoutChangeAppliesEnglishDownstream"
"List #12. Open Assign machine online, disable radios, tap Confirm. Record offline copy vs silent no-op. Radios restored in AfterMethod. Do not tap Decline.","14567","Accept-5: Network drop during Accept shows feedback, no crash","L2B Vendor Quick Booking accept — rental owner 9000000001","Fri Sep 18 16:19:54 IST 2026","passed","Fri Sep 18 16:20:09 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","Quick Booking accept","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","networkDropDuringAcceptShowsFeedback"
"Tap first View More Details. Must expand that card (View Less and/or Purpose/Soil/Load). Do not tap Accept/Decline.","44497","Landing-6: View More Details expands the first card","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:32:37 IST 2026","passed","Fri Sep 18 15:33:21 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","viewMoreExpandsCorrectCard"
"List #5. First Accept outer View must be enabled. Do not tap Decline. Do not tap extend-time Accept.","12301","Accept-3: Accept is enabled on an eligible rental card","L2B Vendor Quick Booking accept — rental owner 9000000001","Fri Sep 18 16:18:52 IST 2026","passed","Fri Sep 18 16:19:04 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","Quick Booking accept","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","acceptButtonIsEnabledOnEligibleCard"
"Complete slide 2 Get started → Sign up, force-stop, new session noReset=true. Landing may be Sign up (persisted), carousel (not persisted), or language. Record which.","25395","Case 9: After Get started, relaunch with data kept — record if carousel returns","L2B Vendor","Thu Sep 17 16:25:13 IST 2026","passed","Thu Sep 17 16:25:38 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","carouselPersistenceAfterRelaunch"
"Tap one Quick Booking Decline. Decline Booking? must open. Open Select a reason, pick the first reason, then tap dialog Decline. Dialog-open alone is not a pass. Do not tap Accept. Do not tap extend-time Decline.","52576","Decline-1: Select a reason then confirm Decline","L2B Vendor Quick Booking decline — rental owner 9000000001","Fri Sep 18 16:10:33 IST 2026","passed","Fri Sep 18 16:11:26 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","Quick Booking decline","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","declineOneRentalCard"
"Swipe the queue up. Must stay on Quick Booking with Accept still on a card. Do not tap Accept/Decline.","56015","Landing-4: Scrolling reveals further booking cards","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:30:07 IST 2026","passed","Fri Sep 18 15:31:03 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","scrollShowsFurtherCards"
"List #20 related. Open Decline Booking? on first card, Cancel. First amount and queue count must stay. Do not tap Accept.","23278","Decline-5: Remaining cards stay after cancelling Decline","L2B Vendor Quick Booking decline — rental owner 9000000001","Fri Sep 18 16:25:53 IST 2026","passed","Fri Sep 18 16:26:16 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","Quick Booking decline","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","cancelDeclineLeavesQueueUnchanged"
"List #40. Needs a second client or backend seed. Not runnable on 0001 alone.","5","Edge-13: Already accepted/declined elsewhere","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:36:09 IST 2026","skipped","Fri Sep 18 16:36:09 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","alreadyAcceptedOrDeclinedElsewhereIsHandled"
"Select Hindi, tap शुरू करें, assert slide 1 Hindi headline from dump ('हमारे साथ अपना मशीन और मटेरियल बिज़नेस बढ़ाएं'), not English 'Grow Your Machine'.","10561","Case 4: Hindi selection changes onboarding copy, not just navigation","L2B Vendor","Thu Sep 17 16:13:49 IST 2026","passed","Thu Sep 17 16:13:59 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","hindiSelectionChangesDownstreamCopy"
"List #16. Read Timer, wait until the value changes. Do not wait until 00:00.","28819","Edge-5: Timer ticks down while Quick Booking stays open","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:30:45 IST 2026","passed","Fri Sep 18 16:31:14 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","timerReachesZeroWhileScreenOpen"
"Dump-sourced: Telugu tap localizes this screen to 'L2B కి స్వాగతం'.","6389","Case 2b: Selecting Telugu deselects English","L2B Vendor","Thu Sep 17 16:12:34 IST 2026","passed","Thu Sep 17 16:12:41 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","selectingTeluguDeselectsEnglish"
"9000000001 + 1234. First visible pending card: SKU, Amount · Online Mode, start/end/duration, site, Timer mm:ss. Do not tap Accept/Decline.","47113","Landing-3: First card shows machine, amount, dates, location, timer","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:22:19 IST 2026","passed","Fri Sep 18 15:23:06 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","firstCardShowsMachineAmountDatesLocationTimer"
"Tap Hindi, Telugu, Kannada with no wait. Last row is Kannada — title must be 'L2B ಗೆ ಸ್ವಾಗತ'. Process stays in Vendor.","10336","Case 5: Rapid taps across languages — last selection sticks, no crash","L2B Vendor","Thu Sep 17 16:14:18 IST 2026","passed","Thu Sep 17 16:14:29 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","rapidMultiTapLastLanguageSticks"
"API has 5 pending. First screen must show at least two cards (Accept count >= 2). Do not tap Accept/Decline.","12542","0001-10: Queue shows more than one pending card","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 14:49:42 IST 2026","passed","Fri Sep 18 14:49:55 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","queueShowsAtLeastTwoPendingCards"
"9000000001 on Quick Booking. Device Back. Record landing. Observed: launcher (BUGS_FOUND #13). Do not tap Accept/Decline.","25523","Case 3: Rental Quick Booking Back — named landing, no crash","L2B Vendor Quick Booking","Fri Sep 18 12:28:19 IST 2026","passed","Fri Sep 18 12:28:45 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","Quick Booking isolated","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","rentalBackGoesToHome"
"List #18 related. If timer is not 00:00, Decline must still open Decline Booking?. Cancel — do not consume. True post-expiry Decline needs a 00:00 seed.","53363","Decline-6: Decline while timer is still running opens the reason dialog","L2B Vendor Quick Booking decline — rental owner 9000000001","Fri Sep 18 16:36:56 IST 2026","passed","Fri Sep 18 16:37:50 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","Quick Booking decline","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","declineWhileTimerRunningOpensReasonDialog"
"Clipboard hello!! + PASTE. Field must not keep letters. Vendor package stays up.","9516","Case 7: Paste non-numeric string — rejected, no crash","L2B Vendor","Thu Sep 17 16:40:42 IST 2026","passed","Thu Sep 17 16:40:51 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","pasteNonNumericRejectedNoCrash"
"1234567890 + terms. Record Get OTP enabled. Sequential + leading-1.","7479","Case 8: Sequential 1234567890 — blocked or Get OTP enables","L2B Vendor","Thu Sep 17 16:31:40 IST 2026","passed","Thu Sep 17 16:31:47 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","sequentialAscendingEnablesOrBlocksGetOtp"
"Type 10 digits, then one more key. Record EditText. First probe: sendKeys of 11 at once emptied the field; this case uses 10 then +1 so we see max-length vs accept.","18334","Case 3: 11th digit — truncated, blocked, or accepted","L2B Vendor","Thu Sep 17 16:29:43 IST 2026","passed","Thu Sep 17 16:30:01 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","eleventhDigitTruncatedOrBlocked"
"List #37. After OTP, record whether a ProgressBar/Loading marker appears before Quick Booking.","12364","Edge-10: Loading state while booking data is fetched","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:34:42 IST 2026","passed","Fri Sep 18 16:34:55 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","loadingStateWhileFetching"
"Live 15 Sep 2026: Skip does not bypass to Sign up. It behaves like Next — slide 2 'Manage Everything In One Place'. Logged as BUGS_FOUND #2.","10292","Case 3: Skip on slide 1 advances to slide 2 (same as Next)","L2B Vendor","Thu Sep 17 16:18:12 IST 2026","passed","Thu Sep 17 16:18:22 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","skipFromSlideOneGoesToSlideTwo"
"9000000001 login to Quick Booking, terminateApp + activateApp without pm clear. Must return to Quick Booking, not Language.","44772","0001-4: Session persists on Quick Booking after relaunch","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 13:02:01 IST 2026","passed","Fri Sep 18 13:02:46 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","sessionPersistsOnQuickBooking"
"Select Hindi, tap Get started, terminateApp+activateApp without pm clear. Record whether Hindi onboarding returns, English language returns, or something else.","17286","Case 7: Language choice after Get started — relaunch with data kept","L2B Vendor","Thu Sep 17 16:15:12 IST 2026","passed","Thu Sep 17 16:15:29 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","languageChoicePersistsAcrossRelaunch"
"Do not tap Accept/Decline. Record outer enabled vs inner TextView/Button decoys.","55530","0001-6: Accept/Decline enabled on outer View, inner decoys","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 14:42:18 IST 2026","passed","Fri Sep 18 14:43:13 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","acceptDeclineEnabledOnOuterView"
"Submit 0000, 1111, 2222, 3333 in one session. Record lockout/cooldown copy and landing.","10890","Case 10: Multiple consecutive wrong OTPs — lockout?","L2B Vendor","Thu Sep 17 16:42:18 IST 2026","passed","Thu Sep 17 16:42:29 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","multipleWrongOtpsLockoutOrNot"
